country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,0.799,0.844,0.856
Albania,0.966,0.964,,0.944,0.934,,,0.962,0.924,0.911,0.888,0.93,0.987,0.895,1.01,0.989,0.999,1.02,1.02
Algeria,0.802,0.863,0.881,0.897,0.913,0.931,0.836,0.944,1.13,0.919,0.956,0.976,1.02,1.06,1.08,1.06,1.06,1.06,1.05
Angola,,,,,,,,,0.392,0.388,0.398,0.462,,,,,,,
Antigua and Barbuda,,,,,,,,,1.11,1.01,1.07,1.04,,,1.11,0.926,,0.982,0.962
Argentina,0.973,0.968,1.01,0.982,0.966,0.946,0.971,0.999,1.03,1.03,1.04,1.04,1.03,1.02,1.03,1.03,1.04,1,
Armenia,,,0.937,0.893,1,0.927,0.938,1.02,1.06,,0.945,0.938,0.939,,0.967,0.946,0.908,0.92,0.899
Austria,,,1,,0.987,,,,,,,0.968,0.967,0.976,0.987,1,0.997,0.995,
Azerbaijan,0.895,0.952,0.976,0.927,0.956,0.934,0.916,0.981,0.907,0.918,0.895,0.928,0.92,0.881,0.981,1.03,1.11,1.07,1
Bahamas,,,,,,1.02,0.958,0.964,0.923,0.905,0.824,0.897,0.893,0.792,0.801,0.852,0.774,,0.765
Bahrain,0.988,0.967,1.01,1,1.02,1.02,,,,,,0.895,0.932,0.945,0.966,0.987,0.995,0.995,0.979
Bangladesh,,,,,,0.663,,,0.59,0.655,0.678,,,,,,,,
Barbados,0.984,1.06,1.03,1.07,0.977,0.916,0.939,0.923,0.946,0.957,0.956,0.982,,,,,,,0.887
Belarus,1.02,1.07,1.33,1.03,1.03,0.989,0.977,0.963,0.991,1.06,1.07,1.08,1.04,1,0.987,0.968,0.969,1.02,1.05
Belgium,,,,,,,,,,,,,,,,,,,
Belize,1,1.01,,0.972,0.977,0.984,0.975,0.99,0.949,0.997,1.01,1.04,1.08,1.02,1.02,1.04,1.05,1.03,1.04
Benin,0.378,0.417,0.438,0.481,0.519,,,,0.637,,0.667,0.717,0.73,0.786,0.795,0.811,0.807,,
Bhutan,0.511,0.515,,,0.602,0.661,0.711,0.726,0.784,0.808,0.873,0.891,0.99,0.966,0.962,,1.01,1,
Bolivia,,,,,,,,,,,0.973,0.969,0.974,0.944,0.907,0.888,0.899,0.916,0.948
Botswana,0.968,0.991,0.999,0.994,0.984,0.977,1.02,0.983,0.995,1.01,,,1.01,1.01,,,,,
Brazil,,1.12,1.14,1.09,1.01,,,,,,,,,,,,,,
Brunei,1.15,1.22,1.18,1.2,1.11,1.07,1.08,1.07,1.05,1.02,1.05,1.11,1.07,1.06,1,1.02,,1.07,1.08
Bulgaria,0.962,1.02,0.966,0.978,0.986,0.987,0.994,1.01,0.952,1.02,1.13,1.1,1.02,0.99,0.98,0.962,0.92,0.898,
Burkina Faso,0.254,0.267,0.275,0.291,0.304,0.317,0.328,0.35,0.389,0.439,0.471,,0.574,0.623,0.608,0.62,0.617,0.635,0.655
Burundi,0.244,0.248,0.252,0.296,0.318,0.339,,0.387,0.417,0.484,0.515,0.564,0.63,0.707,0.696,0.645,0.677,0.684,0.63
Cambodia,,0.513,0.599,0.666,0.776,0.869,0.894,0.907,0.859,0.833,0.852,0.875,0.932,0.942,0.966,0.955,0.924,0.895,0.88
